iter	Logloss
287	0.5284157235
288	0.5282858984
289	0.5281820135
290	0.5280438256
291	0.5279032899
292	0.5277914196
293	0.5276390132
294	0.5275186908
295	0.5273883802
296	0.5272788307
297	0.5271429004
298	0.5269872116
299	0.5268762887
300	0.5267710162
301	0.5265930975
302	0.5264411116
303	0.5263281046
304	0.5261962548
305	0.5260628732
306	0.5259501952
307	0.5258242987
308	0.525672427
309	0.5255245617
310	0.525370658
311	0.5252460478
312	0.5251131096
313	0.524959405
314	0.5248556544
315	0.5247430348
316	0.5246244641
317	0.5244883891
318	0.5243747593
319	0.52426286
320	0.5241353242
321	0.5240052954
322	0.5238494054
323	0.5236891781
324	0.5235612049
325	0.523464093
326	0.5233096865
327	0.5231884141
328	0.523066508
329	0.5229430666
330	0.5228371522
331	0.5227308978
332	0.5226190663
333	0.5224801179
334	0.5223570736
335	0.5222460571
336	0.5221181362
337	0.522017526
338	0.5219329401
339	0.5218088492
340	0.5216762237
341	0.5215293114
342	0.5213933901
343	0.5212988149
344	0.5211500027
345	0.5210198072
346	0.5209117264
347	0.5207382706
348	0.520605136
349	0.5204708446
350	0.5203151097
351	0.5201882919
352	0.5200515144
353	0.5199211526
354	0.5197953471
355	0.5196456832
356	0.5194900698
357	0.5193868146
358	0.5192838582
359	0.5192044332
360	0.5190794639
361	0.5189789147
362	0.5188396053
363	0.5187238472
364	0.518576059
365	0.5184635155
366	0.518304515
367	0.5182037331
368	0.5180935983
369	0.5180193026
370	0.517878548
371	0.5177421334
372	0.5176044168
373	0.5175076074
374	0.5173846891
375	0.5172401928
376	0.5171271571
377	0.5170137267
378	0.5168824217
379	0.5167916112
380	0.5166670276
381	0.5165649968
382	0.5164392299
383	0.5163092632
384	0.5161790538
385	0.5160629826
386	0.5159504774
387	0.5158222309
388	0.51572681
389	0.515600523
390	0.5154953724
391	0.5153895132
392	0.5152839048
393	0.5151347544
394	0.5150466342
395	0.5148965349
396	0.5147595486
397	0.5146851068
398	0.5145491091
399	0.5144254493
400	0.5143347474
401	0.5142139195
402	0.5141105775
403	0.514005345
404	0.5138395553
405	0.5137352944
406	0.5136360309
407	0.5135246406
408	0.5133812172
409	0.5132863781
410	0.5131545268
411	0.5130605469
412	0.5129314506
413	0.5128252477
414	0.5127398556
415	0.5126297456
416	0.5124955118
417	0.5123713371
418	0.5122606239
419	0.5121197227
420	0.512025567
421	0.5119210086
422	0.5117968239
423	0.5116247206
424	0.5115375291
425	0.511401966
426	0.5112476188
427	0.5111253982
428	0.5110084436
429	0.5109093217
430	0.5108153025
431	0.5106807181
432	0.510547365
433	0.510420376
434	0.5103274125
435	0.5101908278
436	0.5100979027
437	0.5099856579
438	0.5098541137
439	0.5097563579
440	0.5096276503
441	0.5094982389
442	0.5093426487
443	0.5091699726
444	0.5090414338
445	0.5089284177
446	0.5088113604
447	0.5087036636
448	0.5085705528
449	0.5084528207
450	0.5083213897
451	0.5082012847
452	0.508076007
453	0.5079880887
454	0.5078710856
455	0.5077595668
456	0.5076406678
457	0.5075338276
458	0.507445933
459	0.5073189143
460	0.5071993021
461	0.5070373622
462	0.5069163186
463	0.506778708
464	0.5066579921
465	0.5065191783
466	0.5063894841
467	0.5062597211
468	0.5061563195
469	0.5060344939
470	0.5059378781
471	0.5058588552
472	0.505761196
473	0.5056541974
474	0.505529791
475	0.5053983446
476	0.5052996098
477	0.5051561698
478	0.5050412844
479	0.5048926685
480	0.5047951781
481	0.5047097495
482	0.5045882008
483	0.5044870399
484	0.5043653774
485	0.5042735191
486	0.5041533702
487	0.5040504706
488	0.503939456
489	0.503840604
490	0.5037231805
491	0.5036319428
492	0.5035080747
493	0.5033704481
494	0.5032720222
495	0.5031669355
496	0.5030742656
497	0.5029496814
498	0.5028419539
499	0.5027216983
500	0.5025936273
501	0.5024557531
502	0.5023740211
503	0.5022564907
504	0.5021601593
505	0.5020492789
506	0.5019493778
507	0.5018143745
508	0.5016954562
509	0.5015648021
510	0.5014394504
511	0.5013182872
512	0.5012264211
513	0.5011164889
514	0.5010200138
515	0.5009157599
516	0.5007984177
517	0.5006728612
518	0.5005720171
519	0.5004718325
520	0.5003618505
521	0.5002838279
522	0.500179584
523	0.5000658105
524	0.4999691245
525	0.4998525792
526	0.499724896
527	0.4996322556
528	0.4995185612
529	0.4993848083
530	0.4992644649
531	0.4991780415
532	0.4990628061
533	0.4989711329
534	0.4988736579
535	0.4987786081
536	0.4986621513
537	0.4985331122
538	0.4984427158
539	0.4983409262
540	0.4982179823
541	0.4981049317
542	0.498000061
543	0.4978586073
544	0.4977671248
545	0.4976668864
546	0.4975550302
547	0.4974502939
548	0.4973351335
549	0.497216115
550	0.497131387
551	0.4970284314
552	0.4969133451
553	0.4967860962
554	0.4966645687
555	0.4965613053
556	0.4964678208
557	0.4963359321
558	0.4962499903
559	0.4961430765
560	0.4960401885
561	0.4959140254
562	0.4958111761
563	0.4956716433
564	0.4955646282
565	0.4954672174
566	0.4953547496
567	0.4952312857
568	0.4951369465
569	0.4950340185
570	0.4949588927
571	0.4948330107
572	0.4947234555
573	0.4946035185
574	0.4944942691
575	0.4943884023
576	0.4942697817
577	0.4941764311
578	0.4940545711
579	0.493939627
580	0.4937868985
581	0.4936593992
582	0.4935526724
583	0.4934525669
584	0.4933278203
585	0.4932486687
586	0.4931532358
587	0.4930641683
588	0.4929460825
589	0.4928147124
590	0.4927257544
591	0.4926035587
592	0.4924649725
593	0.4923271487
594	0.4922518232
595	0.4921186227
596	0.4920100612
597	0.4918842536
598	0.4917780714
599	0.4916747752
600	0.4915858648
601	0.4914780946
602	0.4913871196
603	0.4912769847
604	0.4911549251
605	0.4910441861
606	0.4909206252
607	0.4907967277
608	0.4906799584
609	0.490605331
610	0.4905084404
611	0.4904246106
612	0.4903219748
613	0.4902094036
614	0.4900817622
615	0.4899925364
616	0.4899466346
617	0.4898602494
618	0.4897351717
619	0.4896082369
620	0.4894804447
621	0.4893899337
622	0.4892703003
623	0.4891631925
624	0.4890631726
625	0.4890048185
626	0.4888926599
627	0.4888074581
628	0.4887075959
629	0.4886158105
630	0.4885372568
631	0.4884629306
632	0.4883525494
633	0.4882297812
634	0.4881131443
635	0.488047156
636	0.4879325705
637	0.4878329777
638	0.4877431104
639	0.487627146
640	0.4875154491
641	0.4874200757
642	0.4873463876
643	0.4872083888
644	0.4871048467
645	0.4870053631
646	0.4869029256
647	0.4868062448
648	0.4866949652
649	0.4866108399
650	0.4865277233
651	0.4864209175
652	0.4863357779
653	0.4862405414
654	0.4861597108
655	0.4860463302
656	0.4859583315
657	0.4858728303
658	0.4857970794
659	0.4856665013
660	0.4855602622
661	0.4854594083
662	0.4853730847
663	0.4852514193
664	0.485129868
665	0.4850350737
666	0.4849495049
667	0.4848043662
668	0.4847144899
669	0.4845916583
670	0.4845012687
671	0.484378042
672	0.4842761882
673	0.4841948186
674	0.4841005646
675	0.4839851978
676	0.4838898148
677	0.4838098784
678	0.4837146975
679	0.4836078466
680	0.483502353
681	0.4833979041
682	0.4833062562
683	0.4831798498
684	0.4830545813
685	0.4829925811
686	0.4828914511
687	0.4827808282
688	0.4826716089
689	0.482580717
690	0.4824954396
691	0.482375398
692	0.4823019583
693	0.4822089373
694	0.4821061547
695	0.4820065746
696	0.4818904136
697	0.481789574
698	0.4817001926
699	0.4816201892
700	0.4815196952
701	0.4814098646
702	0.4812844515
703	0.4811740272
704	0.4810700057
705	0.4809859795
706	0.4808971941
707	0.4807882637
708	0.480691427
709	0.4805823696
710	0.4805054225
711	0.4804107419
712	0.4803032222
713	0.4801870066
714	0.4800663358
715	0.4799770943
716	0.4798528346
717	0.4797435706
718	0.4796240697
719	0.4795427707
720	0.4794420278
721	0.4793390837
722	0.479241279
723	0.479129155
724	0.4790107363
725	0.478908288
726	0.4787964724
727	0.4786856348
728	0.478566298
729	0.4784645017
730	0.4783635893
731	0.4782740139
732	0.4781537917
733	0.4780527797
734	0.477952444
735	0.4778667969
736	0.4777968461
737	0.4777042921
738	0.4775938315
739	0.4774856166
740	0.4774012004
741	0.4772814199
742	0.4771829454
743	0.4770822903
744	0.4769919212
745	0.476884295
746	0.4767558029
747	0.4766905658
748	0.4765670585
749	0.4764686388
750	0.4763688501
751	0.4762708757
752	0.4761923166
753	0.4760779848
754	0.4759886045
755	0.4758772894
756	0.4757481402
757	0.4756355884
758	0.4755195008
759	0.4754289049
760	0.4753378836
761	0.4752462989
762	0.4751531278
763	0.4750538942
764	0.4749989043
765	0.4749043539
766	0.4747840838
767	0.474682298
768	0.4745892975
769	0.4744836022
770	0.4743834366
771	0.474321109
772	0.4741552539
773	0.4740601023
774	0.4739706019
775	0.4738693326
776	0.4737955015
777	0.4737333195
778	0.4736230848
779	0.473518179
780	0.4733967092
781	0.473313569
782	0.4732239858
783	0.4731249773
784	0.4729998323
785	0.4728728322
786	0.4727551234
787	0.4726419456
788	0.4725167147
789	0.472400685
790	0.4723002881
791	0.4722125726
792	0.4720922708
793	0.4719969134
794	0.4719055638
795	0.4718106948
796	0.4716276912
797	0.4715315357
798	0.4714250686
799	0.4713381316
800	0.4712388402
801	0.4711343332
802	0.471032108
803	0.4709562106
804	0.4708520478
805	0.4707374036
806	0.4706412748
807	0.4705258656
808	0.4704200028
809	0.4703329553
810	0.4702169737
811	0.4700891616
812	0.470013813
813	0.4698999561
814	0.4698006511
815	0.4696966317
816	0.4695640884
817	0.4694516704
818	0.4693781281
819	0.4692740768
820	0.4691608776
821	0.4690758576
822	0.4689594897
823	0.4688571382
824	0.4687505196
825	0.4686415573
826	0.4685211731
827	0.4684271283
828	0.4683268957
829	0.4682484894
830	0.4681351711
831	0.4680108697
832	0.4679173945
833	0.4678127178
834	0.4676892145
835	0.4675814046
836	0.4674845463
837	0.467359603
838	0.4672428357
839	0.4671104939
840	0.466997062
841	0.4669410092
842	0.4668410093
843	0.4667597498
844	0.4666746136
845	0.4665909376
846	0.4664884805
847	0.4663916924
848	0.4662875848
849	0.4661957062
850	0.4660842804
851	0.4659709544
852	0.4658888664
853	0.465807032
854	0.4657232179
855	0.4656178284
856	0.4655233734
857	0.4654622829
858	0.4653723594
859	0.4652943196
860	0.4651724737
861	0.4650861033
862	0.4650075007
863	0.4648805717
864	0.4647783964
865	0.4646757489
866	0.4645848746
867	0.4645034398
868	0.4643994879
869	0.4642791241
870	0.4641673277
871	0.464077164
872	0.4639662561
873	0.4638635246
874	0.4637640071
875	0.4636869248
876	0.463618704
877	0.4635001594
878	0.4633912718
879	0.4633301224
880	0.4632353219
881	0.4631396635
882	0.4630499466
883	0.4629776081
884	0.4628714612
885	0.4627434463
886	0.4626348531
887	0.462534527
888	0.4624349365
889	0.4623316584
890	0.4622380975
891	0.46215692
892	0.4620464195
893	0.4619312857
894	0.4618402032
895	0.461722965
896	0.4616231949
897	0.4615357174
898	0.4614636677
899	0.4613742534
900	0.4612894576
901	0.461199581
902	0.4610975201
903	0.4610133379
904	0.4609187853
905	0.4608078158
906	0.460705528
907	0.4606178897
908	0.4605207418
909	0.4604119863
910	0.4603161181
911	0.46023574
912	0.4601538046
913	0.4600564323
914	0.4599414892
915	0.459880394
916	0.4597968381
917	0.4596820406
918	0.4595956586
919	0.4595093685
920	0.4594062936
921	0.4593201328
922	0.4592027147
923	0.45911164
924	0.4590107828
925	0.4589167182
926	0.4588288168
927	0.4587297603
928	0.4586390374
929	0.4585232415
930	0.4584582174
931	0.4583527971
932	0.4582453671
933	0.4581535902
934	0.4580590514
935	0.457947533
936	0.4579077718
937	0.4577956056
938	0.4577062398
939	0.4575983263
940	0.4575184699
941	0.4574318959
942	0.457330178
943	0.4572516618
944	0.4571758144
945	0.4571086942
946	0.45700049
947	0.4569124894
948	0.4568281052
949	0.4567217264
950	0.4566454497
951	0.4565664421
952	0.456478899
953	0.4564111864
954	0.4563292931
955	0.4562522358
956	0.4561725263
957	0.4560647364
958	0.4559825973
959	0.4558997667
960	0.4557860743
961	0.4557135172
962	0.4556518671
963	0.4555529645
964	0.4554447553
965	0.4553499097
966	0.4552515346
967	0.4551620584
968	0.4550799032
969	0.4549775829
970	0.4549086606
971	0.4548181135
972	0.4547130764
973	0.4546028869
974	0.4545060705
975	0.4544025477
976	0.454281156
977	0.4541832998
978	0.4540883047
979	0.4540068134
980	0.45391514
981	0.4538481437
982	0.4537550764
983	0.453657324
984	0.4535705972
985	0.4534557178
986	0.4533553896
987	0.4532625308
988	0.4531824346
989	0.453087555
990	0.4530263538
991	0.4529395649
992	0.45281546
993	0.4527224876
994	0.4525956143
995	0.452478787
996	0.4524011959
997	0.4522903798
998	0.4521712092
999	0.4520703827
