iter	Passed	Remaining
400	19494	29120
401	19530	29053
402	19563	28981
403	19591	28902
404	19621	28826
405	19652	28752
406	19683	28678
407	19721	28616
408	19753	28543
409	19784	28470
410	19822	28407
411	19861	28345
412	19893	28274
413	19930	28210
414	19969	28150
415	20002	28079
416	20039	28017
417	20088	27969
418	20119	27898
419	20153	27831
420	20191	27769
421	20225	27702
422	20259	27635
423	20290	27564
424	20344	27524
425	20380	27461
426	20414	27394
427	20449	27329
428	20499	27284
429	20535	27220
430	20565	27150
431	20640	27138
432	20679	27078
433	20708	27006
434	20739	26937
435	20808	26916
436	20853	26866
437	20904	26822
438	20952	26774
439	20997	26724
440	21028	26655
441	21075	26607
442	21130	26568
443	21166	26505
444	21247	26499
445	21322	26485
446	21399	26473
447	21449	26428
448	21481	26361
449	21524	26307
450	21559	26243
451	21598	26185
452	21631	26119
453	21664	26054
454	21698	25990
455	21729	25923
456	21761	25857
457	21800	25798
458	21835	25736
459	21911	25721
460	21952	25667
461	21994	25612
462	22058	25583
463	22096	25525
464	22137	25469
465	22186	25423
466	22224	25365
467	22264	25309
468	22299	25247
469	22328	25178
470	22355	25108
471	22381	25037
472	22409	24967
473	22441	24902
474	22486	24853
475	22518	24789
476	22549	24723
477	22585	24664
478	22616	24599
479	22652	24540
480	22684	24477
481	22725	24423
482	22755	24357
483	22787	24293
484	22814	24225
485	22843	24160
486	22883	24104
487	22918	24045
488	22952	23985
489	22978	23915
490	23003	23847
491	23032	23781
492	23061	23716
493	23095	23656
494	23122	23589
495	23159	23533
496	23186	23466
497	23229	23416
498	23264	23357
499	23296	23296
500	23334	23240
501	23362	23176
502	23399	23120
503	23428	23056
504	23458	22994
505	23489	22932
506	23519	22869
507	23556	22814
508	23591	22757
509	23651	22724
510	23680	22660
511	23708	22597
512	23742	22538
513	23770	22475
514	23800	22413
515	23828	22350
516	23872	22302
517	23901	22240
518	23927	22175
519	23955	22112
520	24000	22065
521	24025	22000
522	24065	21948
523	24109	21901
524	24139	21840
525	24171	21782
526	24202	21722
527	24238	21668
528	24290	21627
529	24331	21577
530	24369	21523
531	24399	21463
532	24433	21408
533	24469	21353
534	24493	21288
535	24532	21236
536	24563	21178
537	24598	21123
538	24631	21067
539	24661	21007
540	24700	20956
541	24726	20894
542	24752	20832
543	24784	20775
544	24810	20713
545	24838	20653
546	24869	20595
547	24895	20534
548	24935	20484
549	24971	20431
550	25002	20374
551	25033	20317
552	25059	20255
553	25091	20200
554	25121	20142
555	25151	20084
556	25176	20023
557	25207	19966
558	25238	19910
559	25280	19863
560	25324	19817
561	25384	19783
562	25439	19746
563	25494	19708
564	25542	19665
565	25582	19616
566	25609	19557
567	25645	19505
568	25681	19452
569	25714	19398
570	25751	19347
571	25785	19294
572	25824	19244
573	25858	19191
574	25894	19139
575	25925	19083
576	25956	19028
577	25996	18980
578	26034	18930
579	26071	18879
580	26103	18825
581	26143	18776
582	26189	18732
583	26227	18682
584	26256	18626
585	26294	18576
586	26321	18519
587	26352	18464
588	26378	18406
589	26404	18349
590	26431	18291
591	26459	18235
592	26489	18180
593	26522	18128
594	26549	18071
595	26588	18023
596	26616	17967
597	26647	17913
598	26675	17857
599	26705	17803
600	26736	17750
601	26766	17695
602	26797	17643
603	26826	17587
604	26851	17531
605	26875	17473
606	26913	17424
607	26944	17372
608	26976	17319
609	27000	17262
610	27032	17210
611	27059	17155
612	27091	17103
613	27126	17053
614	27159	17002
615	27183	16945
616	27209	16890
617	27234	16834
618	27260	16779
619	27289	16725
620	27326	16677
621	27357	16625
622	27388	16573
623	27420	16522
624	27449	16469
625	27480	16418
626	27508	16364
627	27536	16311
628	27569	16261
629	27598	16208
630	27626	16155
631	27657	16104
632	27684	16050
633	27715	15999
634	27747	15949
635	27773	15895
636	27803	15844
637	27829	15790
638	27857	15738
639	27887	15686
640	27912	15632
641	27947	15584
642	27981	15535
643	28009	15483
644	28040	15433
645	28069	15381
646	28095	15328
647	28134	15282
648	28165	15232
649	28194	15181
650	28221	15129
651	28255	15081
652	28282	15029
653	28311	14978
654	28340	14927
655	28369	14876
656	28403	14828
657	28433	14778
658	28464	14729
659	28495	14679
660	28524	14628
661	28551	14577
662	28584	14529
663	28618	14481
664	28654	14434
665	28689	14387
666	28723	14340
667	28760	14293
668	28797	14247
669	28840	14204
670	28873	14156
671	28898	14105
672	28929	14056
673	28960	14007
674	28995	13960
675	29029	13913
